序号,飞行时间,帧序号,帧同步字符,履历参数,系统时间,采集器时间,采集器日期,x,y,z
1,13:42:24,0,1464,80,258,1262116,2297894,-1.49,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,80,258,1262116,2297894,-1.49,1.59,3.86
,,,,,,,,-1.49,1.59,3.86
2,13:42:25,0,2631,166,67,1262117,2297894,-1.48,1.59,3.86
,,,,,,,,-1.49,1.59,3.86
,,,,166,67,1262117,2297894,-1.48,1.59,3.86
,,,,,,,,-1.49,1.59,3.86
3,13:42:26,0,3512,48,0,1262118,2297894,-1.48,1.59,3.86
,,,,,,,,-1.49,1.59,3.86
,,,,48,0,1262118,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
4,13:42:27,1,583,1417,135,1262119,2297894,-1.48,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
,,,,1417,135,1262119,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
5,13:42:28,1,1464,1042,258,1262120,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,1042,258,1262120,2297894,-1.48,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
6,13:42:29,1,2631,1641,67,1262121,2297894,-1.47,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,1641,67,1262121,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
7,13:42:30,1,3512,1657,0,1262128,2297894,-1.48,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
,,,,1657,0,1262128,2297894,-1.47,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
8,13:42:31,2,583,2057,193,1262129,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,2057,193,1262129,2297894,-1.48,1.59,3.86
,,,,,,,,-1.47,1.6,3.86
9,13:42:32,2,1464,2649,258,1262130,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,2649,258,1262130,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
10,13:42:33,2,2631,2089,67,1262131,2297894,-1.48,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
,,,,2089,67,1262131,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
11,13:42:34,2,3512,2681,1,1262132,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,2681,1,1262132,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
12,13:42:35,3,583,131,197,1262133,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,131,197,1262133,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
13,13:42:36,3,1464,80,258,1262134,2297894,-1.48,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
,,,,80,258,1262134,2297894,-1.47,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
14,13:42:37,3,2631,166,67,1262135,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,166,67,1262135,2297894,-1.48,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
15,13:42:38,3,3512,48,0,1262136,2297894,-1.47,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
,,,,48,0,1262136,2297894,-1.47,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
16,13:42:39,4,583,1417,201,1262137,2297894,-1.47,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
,,,,1417,201,1262137,2297894,-1.47,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
17,13:42:40,4,1464,1042,258,1262144,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,1042,258,1262144,2297894,-1.47,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
18,13:42:41,4,2631,1641,67,1262145,2297894,-1.47,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,1641,67,1262145,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
19,13:42:42,4,3512,1657,0,1262146,2297894,-1.48,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
,,,,1657,0,1262146,2297894,-1.47,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
20,13:42:43,5,583,2057,259,1262147,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,2057,259,1262147,2297894,-1.48,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
21,13:42:44,5,1464,2649,258,1262148,2297894,-1.47,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
,,,,2649,258,1262148,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
22,13:42:45,5,2631,2089,67,1262149,2297894,-1.48,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
,,,,2089,67,1262149,2297894,-1.47,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
23,13:42:46,5,3512,2681,1,1262150,2297894,-1.47,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,2681,1,1262150,2297894,-1.48,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
24,13:42:47,6,583,131,263,1262151,2297894,-1.48,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
,,,,131,263,1262151,2297894,-1.47,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
25,13:42:48,6,1464,80,258,1262152,2297894,-1.48,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
,,,,80,258,1262152,2297894,-1.47,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
26,13:42:49,6,2631,166,67,1262153,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,166,67,1262153,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
27,13:42:50,6,3512,48,0,1262160,2297894,-1.47,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,48,0,1262160,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
28,13:42:51,7,583,1417,321,1262161,2297894,-1.47,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
,,,,1417,321,1262161,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
29,13:42:52,7,1464,1042,258,1262162,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,1042,258,1262162,2297894,-1.48,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
30,13:42:53,7,2631,1641,67,1262163,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,1641,67,1262163,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
31,13:42:54,7,3512,1657,0,1262164,2297894,-1.48,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
,,,,1657,0,1262164,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
32,13:42:55,8,583,2057,325,1262165,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,2057,325,1262165,2297894,-1.47,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
33,13:42:56,8,1464,2649,258,1262166,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,2649,258,1262166,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.6,3.86
34,13:42:57,8,2631,2089,67,1262167,2297894,-1.48,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
,,,,2089,67,1262167,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
35,13:42:58,8,3512,2681,1,1262168,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,2681,1,1262168,2297894,-1.47,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
36,13:42:59,9,583,131,329,1262169,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,131,329,1262169,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
37,13:43:00,9,1464,80,259,1262336,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,80,259,1262336,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
38,13:43:01,9,2631,166,67,1262337,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,166,67,1262337,2297894,-1.48,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
39,13:43:02,9,3512,48,0,1262338,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
,,,,48,0,1262338,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
40,13:43:03,10,583,1417,3,1262339,2297894,-1.48,1.59,3.86
,,,,,,,,-1.47,1.59,3.86
,,,,1417,3,1262339,2297894,-1.48,1.59,3.86
,,,,,,,,-1.48,1.59,3.86
