序号,飞行时间,帧序号,帧同步字符,履历参数,系统时间,采集器时间,采集器日期,x,y,z
1.0,13:42:24,0.0,1464.0,80.0,258.0,1262116.0,2297894.0,-4.47,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
,,,,80.0,258.0,1262116.0,2297894.0,-4.47,1.59,3.86
,,,,,,,,-4.47,1.59,3.86
2.0,13:42:25,0.0,2631.0,166.0,67.0,1262117.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.47,1.59,3.86
,,,,166.0,67.0,1262117.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.47,1.59,3.86
3.0,13:42:26,0.0,3512.0,48.0,0.0,1262118.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.47,1.59,3.86
,,,,48.0,0.0,1262118.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
4.0,13:42:27,1.0,583.0,1417.0,135.0,1262119.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
,,,,1417.0,135.0,1262119.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
5.0,13:42:28,1.0,1464.0,1042.0,258.0,1262120.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
,,,,1042.0,258.0,1262120.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
6.0,13:42:29,1.0,2631.0,1641.0,67.0,1262121.0,2297894.0,-4.41,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
,,,,1641.0,67.0,1262121.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
7.0,13:42:30,1.0,3512.0,1657.0,0.0,1262128.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
,,,,1657.0,0.0,1262128.0,2297894.0,-4.41,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
8.0,13:42:31,2.0,583.0,2057.0,193.0,1262129.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
,,,,2057.0,193.0,1262129.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.41,1.6,3.86
9.0,13:42:32,2.0,1464.0,2649.0,258.0,1262130.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
,,,,2649.0,258.0,1262130.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
10.0,13:42:33,2.0,2631.0,2089.0,67.0,1262131.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
,,,,2089.0,67.0,1262131.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
11.0,13:42:34,2.0,3512.0,2681.0,1.0,1262132.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
,,,,2681.0,1.0,1262132.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
12.0,13:42:35,3.0,583.0,131.0,197.0,1262133.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
,,,,131.0,197.0,1262133.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
13.0,13:42:36,3.0,1464.0,80.0,258.0,1262134.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
,,,,80.0,258.0,1262134.0,2297894.0,-4.41,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
14.0,13:42:37,3.0,2631.0,166.0,67.0,1262135.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
,,,,166.0,67.0,1262135.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
15.0,13:42:38,3.0,3512.0,48.0,0.0,1262136.0,2297894.0,-4.41,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
,,,,48.0,0.0,1262136.0,2297894.0,-4.41,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
16.0,13:42:39,4.0,583.0,1417.0,201.0,1262137.0,2297894.0,-4.41,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
,,,,1417.0,201.0,1262137.0,2297894.0,-4.41,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
17.0,13:42:40,4.0,1464.0,1042.0,258.0,1262144.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
,,,,1042.0,258.0,1262144.0,2297894.0,-4.41,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
18.0,13:42:41,4.0,2631.0,1641.0,67.0,1262145.0,2297894.0,-4.41,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
,,,,1641.0,67.0,1262145.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
19.0,13:42:42,4.0,3512.0,1657.0,0.0,1262146.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
,,,,1657.0,0.0,1262146.0,2297894.0,-4.41,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
20.0,13:42:43,5.0,583.0,2057.0,259.0,1262147.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
,,,,2057.0,259.0,1262147.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
21.0,13:42:44,5.0,1464.0,2649.0,258.0,1262148.0,2297894.0,-4.41,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
,,,,2649.0,258.0,1262148.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
22.0,13:42:45,5.0,2631.0,2089.0,67.0,1262149.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
,,,,2089.0,67.0,1262149.0,2297894.0,-4.41,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
23.0,13:42:46,5.0,3512.0,2681.0,1.0,1262150.0,2297894.0,-4.41,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
,,,,2681.0,1.0,1262150.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
24.0,13:42:47,6.0,583.0,131.0,263.0,1262151.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
,,,,131.0,263.0,1262151.0,2297894.0,-4.41,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
25.0,13:42:48,6.0,1464.0,80.0,258.0,1262152.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
,,,,80.0,258.0,1262152.0,2297894.0,-4.41,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
26.0,13:42:49,6.0,2631.0,166.0,67.0,1262153.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
,,,,166.0,67.0,1262153.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
27.0,13:42:50,6.0,3512.0,48.0,0.0,1262160.0,2297894.0,-4.41,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
,,,,48.0,0.0,1262160.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
28.0,13:42:51,7.0,583.0,1417.0,321.0,1262161.0,2297894.0,-4.41,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
,,,,1417.0,321.0,1262161.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
29.0,13:42:52,7.0,1464.0,1042.0,258.0,1262162.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
,,,,1042.0,258.0,1262162.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
30.0,13:42:53,7.0,2631.0,1641.0,67.0,1262163.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
,,,,1641.0,67.0,1262163.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
31.0,13:42:54,7.0,3512.0,1657.0,0.0,1262164.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
,,,,1657.0,0.0,1262164.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
32.0,13:42:55,8.0,583.0,2057.0,325.0,1262165.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
,,,,2057.0,325.0,1262165.0,2297894.0,-4.41,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
33.0,13:42:56,8.0,1464.0,2649.0,258.0,1262166.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
,,,,2649.0,258.0,1262166.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.6,3.86
34.0,13:42:57,8.0,2631.0,2089.0,67.0,1262167.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.41,1.59,3.86
,,,,2089.0,67.0,1262167.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
35.0,13:42:58,8.0,3512.0,2681.0,1.0,1262168.0,2297894.0,-4.4399999999999995,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
,,,,2681.0,1.0,1262168.0,2297894.0,-4.41,1.59,3.86
,,,,,,,,-4.4399999999999995,1.59,3.86
